StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,Q1_1,Q1_2,Q1_3,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q7,Q8,Q9,Q10,Q11,Q12,Q13,mTurkCode
2016-12-22 15:29:46,2016-12-22 15:37:05,IP Address,24.216.117.178,100,438,True,2016-12-22 15:37:06,R_3lSUdn9CuhNTTeS,,,,,38.5032043457,-89.1496963501,anonymous,To a large extent,To a large extent,To a large extent,Disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,I was at work and I asked my supervisor what to do about a particular problem.  She said not to worry about it and we'd get to it later.  I then got chewed out by the boss because I left the problem unfixed.  I felt bad because I should have stuck up for myself.  I just let that girl throw me under the bus and I didn't say anything.  I wish I would've done things differently and stood up for myself more because I let her dictate my reputation and that wasn't fair.  My boss doesn't always care what my opinions are.  I don't like that he has so many other political considerations to think about.,He is only concerned with his own problems.  He doesn't really care about my needs.  He doesn't give me any coaching.  He doesn't really support me.  He just expects me to figure things out on my own.  He does have a lot of other people to worry about so it can be kind of tough to get to see him on any kind of one on one basis.  I think he just wants me to take care of my business and not annoy him too often with things that I may need in my area.  I don't really want to bother him anyway because no attention is usually good attention.  It isn't always wise to be noticed by people with power. ,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,USA,Male,Male,General Manager,cook,restaurant,Entry Level,7208181
2016-12-22 15:29:49,2016-12-22 15:37:21,IP Address,73.212.201.206,100,451,True,2016-12-22 15:37:23,R_b7ViZ5oyeVcmLh7,,,,,39.3401947021,-76.4026031494,anonymous,To a very large extent,To a very large extent,To a very large extent,Agree,Agree,Somewhat agree,Strongly disagree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"We have a great relationship. Whenever I need help with anything I can rely on his knowledge and expertise to help me out. He is available on call at any time. He shows me respect by letting me have freedom and autonomy. In other words he trusts me and does not micromanage. My relationship with him is similar to others in that we trust him and he trusts us. His door is always open to all of us. I am a personable and sociable type of person so maybe I am a bit closer to him than others just because I am good at small talk and chit chat. But thinking about it, I have been there over 6 years and never even had a cross word with him. It is a very professional relationship in that sense but there is also a personal aspect to it as well in that we all look up to him and he treats us with respect.","He totally understands my problems and needs and will always be there when there is an issue. With complex issues instead of telling me the direct answer he will show me HOW to get there which is crucial for my learning and development. As for coaching and mentoring, that is happening all the time. Not only with the issues that I am working on but also any time there is a new development in our field he will make sure to let me and the others on our team know about them. I have learned many things from him, the vast majority of which I never asked about in the first place. Also if we ever desire more training and/or professional development all we have to do is ask and he will not only give us time off to attend those seminars but also pay for attendance and lodging as well. We were told coming in that this would always be a learning environment and that has proven to be the case.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,USA,Male,Male,Supervising Attorney,Associate Attorney,Legal,Analyst / Associate,3413331
2016-12-22 15:29:27,2016-12-22 15:38:27,IP Address,64.61.92.178,100,539,True,2016-12-22 15:38:28,R_1LdT6LvpF1BN545,,,,,40.7214050293,-73.7431030273,anonymous,To a large extent,To a large extent,To a large extent,Somewhat agree,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,"I almost never speak with him. he does not know what i do and couldn't give me any coaching if he tried. but thankfully, he does not even try. My relationship with him is the same as with my previous manager - it is virtually nonexistent. That means that we barely ever interact other than at company holiday parties. I am basically on my own left to do what i think is best for my department and in my area using my skill set and experience. I guess I still have to come up with some more words to hit the minimum lol. wow and now i got an error saying that this response must be at least 600 characters. you are joking - this is for one measly dollar? not enough money to justify this level of work.","My leader does not understand my problems and needs because he really doesn't care to understand. he provides no support and never gives me a raise or a bonus - which is not surprising because in the 3 years that i have worked here, I haven't had one performance review. I guess to review performance, you have to have some benchmarks and goals - which is way too complicated for this stupid company. at least i have my independence and no one is breathing down my neck. but it would be nice to have a mentor of course yes yes. wow and now i got an error saying that this response must be at least 600 characters. you are joking - this is for one measly dollar? not enough money to justify this level of work.",Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,usa,Male,Female,global gc,gc us,telco,"C level executive (CIO, CTO, COO, CMO, Etc)",6908546
2016-12-22 15:29:57,2016-12-22 15:39:35,IP Address,24.251.132.164,100,577,True,2016-12-22 15:39:36,R_tLJv6dC1XotCX6h,,,,,33.6645050049,-111.8733978272,anonymous,To a large extent,To some extent,A little,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Agree,Somewhat disagree,Somewhat agree,Agree,Agree,Agree,Strongly agree,Agree,"At work, my manager provides me with a great deal of coaching. Given that this was my first job, my manager really took me under his wing and showed me what I should be doing to succeed in my role at this company. He has always been kind and receptive to my needs as an employee. If I ever go above and beyond in a task, he always makes note of it and finds a way to somehow give back to me. This is not limited to me either. He has been treating all of his employees in this manner for years.                                                                                                                                                                                                                                          ","To help me accomplish my work objectives, my manager often puts some kind of reward (gift card, voucher, etc..)  which will be given to the highest performing individual. If I have any concerns or am confused with any aspect of my job, I am always welcome to come into my manager's office and talk with him about expectations, goals, and what I really need to do achieve those goals and expectations. I would say that my supervisor provides me with a lot of coaching and mentoring. At times, he feels much more like a mentor than someone that I have to report to.                                                                                                                                                                ",Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,United States,Male,Male,General Operations Manager,Manufacturing Engineer,Construction,Analyst / Associate,5074459
2016-12-22 15:30:37,2016-12-22 15:39:49,IP Address,67.85.106.229,100,552,True,2016-12-22 15:39:51,R_33w2dqOLUkLvfiH,,,,,40.6484985352,-73.9338989258,anonymous,To some extent,To a large extent,To a large extent,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,"Productive, respectful relationships between a boss and his or her employees is key to any company’s success. While the boss’ top priority is likely to have hardworking employees who fulfill his vision for the company, it’s a safe bet that he’d also like to have more than superficial relationships with the people he works with every day. After all, he probably spends more time with his staff than he does with anyone else. There have been a number of times that I’ve shared ideas with employees, and they’ve come back and suggested—politely of course—that my idea may not be the best route. The reason I don’t get upset is because, along with the rejection of my idea, they present a suggestion for something else. Or, better still, they consider how they can adapt my idea and make it work more effectively.","When I first started my business, it was easy to meet with each employee almost daily, because I only had five employees. Now, with 19, it is more difficult to check in with every employee every day and keep tabs on all the tasks that each person is working on. So it’s important that my employees take the initiative to set up individual meetings with me throughout the month. This helps me know what’s going on in the business—and shows me that they care about their jobs and are keeping my goals and expectations in mind. I would always rather have employees tell me when something at work or at home is affecting the rest of their lives than to wonder why their productivity has suddenly dipped or why they’ve developed a bad attitude. So, if you’re a parent whose office hours are taking a toll on your family, propose a schedule that allows you to work from home part-time. Or, if you’re a part-time college student who needs some extra time off during finals week, see if there is a way to make up the time elsewhere in your schedule. Ask for what you need and be willing to compromise, and your relationship with your manager will be better for it.",Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,USA,Male,Male,Accountant Manger ,Accountant ,Accountant Firm ,Analyst / Associate,4966285
2016-12-22 15:29:43,2016-12-22 15:40:59,IP Address,159.118.181.10,100,676,True,2016-12-22 15:41:00,R_32OYbPSMn9wdDSt,,,,,30.4006958008,-88.7586975098,anonymous,To a large extent,To a large extent,To a large extent,Somewhat agree,Agree,Somewhat agree,Disagree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,"  I am proved as much coaching and development that I feel that I need.  This is discussed at my Goals and objective meetings.  Basically whatever I feel I need will be provided for me.  My leader behaves in a way that I believe that she respects me.  She always listens to my ideas, and to my discussions that I have during meeting..  All of us in the dept. feel the same way toward my manger, she is the best.  This shows in all of our attitudes and our perfromance through out the company.  We are a very tight group.  We have the attitude that what happens to one of us happens to all of us.  Working as a team is our main focus and is emphasized in everything that we do."," I have much understanding of my problems that I face at work, and that is basically because my manager has walked in the shoes that I walk in, and that really makes a difference.  My manager gives me mental support when I am feeling frustrated, at anytime, I can go into her office, shut the door and let off steam.  After I do this, she gives me advise of how best to proceed from there.  I have full confidence that what we discuss will go no further.  If needed we sit down together and make a plan on paper and set up times of getting together to make sure that the points that we have written down are going.",Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,United States of America,Female,Female,Supply Chain Manager,Supply Chain Specialist,Manufacturing,Analyst / Associate,3323026
2016-12-22 15:37:26,2016-12-22 15:44:57,IP Address,24.52.151.146,100,450,True,2016-12-22 15:44:58,R_2OPipg52kuYC7S5,,,,,40.2931060791,-90.0222015381,anonymous,To a large extent,To a very large extent,To a very large extent,Disagree,Agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Currently the leader of my organization does not provide much coaching to myself as I our job duties are very much separate but benefit the same situations. He respects me by giving me things to accomplish that are difficult and sensitive showing that he trusts my work and believe in my abilities to accomplish tasks. My relationship with  my leader is different from co-workers because my job duties differ from the other ones. I have a specific portion of the business that I am in charge of and no one else is a support staff. Thus my leader and I work closer together on projects and tasks. We are very involved and my work directly affects his ability to do his work,"My leader understand my work problems because quite often we face the same issues even though our work is different. My supervisor sets time frames and I need to have certain things accomplished within those frames to make sure things run smoothly. My supervisor listens to my concerns, however, does not provide me with coaching and mentoring because I believe he feels he does not know a lot about what I do. When I do have a problem I discuss it with him and search for suggestions. Sometimes we can come up with a solution that will benefit both of us as the problems are usually connected. Because what I do directly affects him, we both know it is important to brain storm.",Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,united states,Male,Female,States Attorney,Victim Witness Coordinator/Advocate,Legal,Analyst / Associate,2648419
2016-12-22 15:36:06,2016-12-22 15:55:53,IP Address,98.111.105.136,100,1186,True,2016-12-22 15:55:54,R_V2tzPS3iz8npfI5,,,,,40.1813964844,-76.9969024658,anonymous,To some extent,To some extent,To some extent,Agree,Agree,Somewhat agree,Disagree,Agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,I only see the Leader of my company every few months. She is good at telling us what we need to work on though at our quarterly meetings.  If we need remediation she communicates through phone or email to help us. She is friendly and unless you call off or do somthing really bad at work she will then be meaner. I had a friend who worked for the same place and my leader was not as kind to her.  But she had a lot of babysitting issues or very bad clients.  The leader wasn't able to work with her and she quit.                                                                                                                                                               ,We have quarterly meeting in which she goes over things we need to work on and new rules we have.  We also have trainings with the meetings on things involving elderly care (its a homecare agancy). We have open communication on phone or email.  If I have a question or concern it is addressed in a timely mannor.  They have been able to help in situations in which I do not know what to do. I was actually able to help one of the other girls with on the job training.  My boss set it up and asked if I would be willing to do it. I agreed and I know this has been done with other caregivers as well.                                                                                                       ,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,USA,Female,Female,Superviser for our central PA branch,caregiver,health care,Entry Level,3041962
2016-12-22 15:54:56,2016-12-22 16:07:22,IP Address,69.200.230.131,100,745,True,2016-12-22 16:07:23,R_2s6z6EI69ACXM3O,,,,,40.7720947266,-73.9300994873,anonymous,A little,To some extent,A little,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"It's not a great working relationship. We both work in a kitchen together as part owners and we tend to get very angry and frustrated with each other...as people tend to do when they're working in close confines and in stressful situations.

The way we usually show respect is by cooling down after work with a drink or two. We'll hang out for a while and just talk about how the day went and what we're expecting from the next one. 

My relationship is much different since my co workers have to take his orders while I do not. So we tend to fight a lot more whereas they tend to just accept. It's a weird relationship but it works in our business.","My leader supports my work by making sure I always have the neccesary tools to get the job done. When something breaks, he's the first to make sure that it's fixed and he's always open to me experimenting with new processes. 

Usually he does listen in our nightly debrief. He'll take it into account and then we'll discuss why or why not it should proceed from there. Specifically when something breaks down he'll literally be on the phone within the hour to make sure it's fixed quickly

He definitely has taught me a lot about running a business and managing employees. While he fails horribly at a lot of things, he's really good at that and it's been a pleasure to learn from him.",Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,USA,Male,Male,CEO,Chef,Hospitality,Manager,89201
2016-12-22 16:02:21,2016-12-22 16:08:41,IP Address,172.56.13.166,100,380,True,2016-12-22 16:08:43,R_215Hm6txqm31SP0,,,,,41.8482971191,-87.6517028809,anonymous,To a large extent,To some extent,To a large extent,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,I have a positive relationshup with my work leader. He is always providing feedback on my teaching. He respects me because he always breaks down my areas of strength and my areas of weakness without making me feel worthless. I am constantly emailing him or speaking to him about what is happening in my classroom and what his opinion are. I believe i have a similar relationship that most of my coworkers have with him because our boss is very personable and friendly. He wantes the best for everoyne and his actions speak for themselves. he is a great boss. His performance is what drives us to be better leaders in our schools and teachers. ,"My leader understad my problems and needs because as I stated earlier, he is the principal of the school and wants all of his teachers to perfor well. If we perform well, he performs well. He is always giving us feedback, but always makes sure that he also listens to us. We always have monthly meetings where we meet with our boss to go over our school data and our areas we can improve on. He always emails us as soon as possible and that is huge because we understand that he reeives hundreds of emails every single day while at work. We have a PQS system where he offers us praises, quesitons, and suggestions for how we can improve in all aspects of teaching.  ",Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,United States,Male,Male,principal,teacher,education,Entry Level,9491568
